"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.6488 149.1099 NSW","Riffle",-36.6488,149.1099,9,4.89034912822175,2.29253475714054,0.0101111281234104,-0.322044170554642,109
"NSW","-36.6615 149.6472 NSW","Edge",-36.6615,149.6472,5.83333333333333,5.32787616878958,4.61412992735956,0.00748446710772553,-0.0572041527818946,142
"NSW","-36.6615 149.6472 NSW","Riffle",-36.6615,149.6472,6.6,5.42053499927229,4.79363947336828,0.00748446710772553,-0.0572041527818946,142
"NSW","-36.6632 149.8452 NSW","Edge",-36.6632,149.8452,3.16666666666667,5.16953657668211,3.15273602236366,0.00288449130268814,-0.099569616087196,153
"NSW","-36.6827 149.8236 NSW","Edge",-36.6827,149.8236,6,5.48479693349065,5.24121777450746,0.0205022072580579,0.276099406608441,152
"NSW","-36.68618 149.62988 NSW","Edge",-36.68618,149.62988,4.5,6.62539236800796,0.53062825106217,0.0192447134435827,0.0372205301077561,147
"NSW","-36.7043 148.2349 NSW","Edge",-36.7043,148.2349,8,3.92197333628131,1.55814461804655,0.0182254671018849,-0.779149201915645,83
"NSW","-36.7043 148.2349 NSW","Riffle",-36.7043,148.2349,7.5,3.92197333628131,1.55814461804655,0.0182254671018849,-0.779149201915645,83
"NSW","-36.7065 148.2035 NSW","Edge",-36.7065,148.2035,6.66666666666667,2.07944154167984,1.473999941539,0.0306317089897619,-0.909350349015429,95
"NSW","-36.7065 148.2035 NSW","Riffle",-36.7065,148.2035,10.3333333333333,2.07944154167984,1.473999941539,0.0306317089897619,-0.909350349015429,95
"NSW","-36.74 149.763 NSW","Edge",-36.74,149.763,5.5,5.33030041240109,-1.38629436111989,0.00831223188697058,0.300193143346831,149
"NSW","-36.74 149.763 NSW","Riffle",-36.74,149.763,8.5,5.33030041240109,-1.38629436111989,0.00831223188697058,0.300193143346831,149
"NSW","-36.7445 149.4328 NSW","Edge",-36.7445,149.4328,3.5,2.2512917986065,0.717839793150317,0.0131787179716704,-0.506680523924231,101
"NSW","-36.7462 149.63513 NSW","Edge",-36.7462,149.63513,0,6.96602418710611,4.03600898520914,0.00498193651120873,-0.396292079977771,145
"NSW","-36.7633 149.5219 NSW","Edge",-36.7633,149.5219,10,4.15888308335967,2.65324196460721,0.03420665259407,-0.28878242724349,117
"NSW","-36.7633 149.5219 NSW","Riffle",-36.7633,149.5219,14.3333333333333,4.15888308335967,2.65324196460721,0.03420665259407,-0.28878242724349,117
"NSW","-36.7659 149.6944 NSW","Edge",-36.7659,149.6944,7,5.84354441703136,3.4307561839037,0.0141104923889632,0.150914892174858,145
"NSW","-36.7659 149.6944 NSW","Riffle",-36.7659,149.6944,10,5.84354441703136,3.4307561839037,0.0141104923889632,0.150914892174858,145
